start,end,duration
02:01.8,02:02.4,00:00.6
03:03.5,03:07.8,00:04.3
03:13.5,03:14.7,00:01.1
03:25.6,03:25.9,00:00.3
03:28.7,03:30.5,00:01.7
03:31.7,03:34.2,00:02.5
03:35.7,03:36.1,00:00.5
03:37.5,03:40.0,00:02.5
03:44.9,03:46.4,00:01.6
03:48.3,03:52.3,00:04.0
03:54.1,03:55.8,00:01.7
03:58.6,04:06.0,00:07.4
04:12.1,04:13.1,00:01.0
04:14.7,04:15.5,00:00.8
04:20.4,04:22.6,00:02.2
04:23.2,04:28.4,00:05.2
04:30.1,04:31.7,00:01.6
04:33.0,04:33.6,00:00.6
04:34.4,04:34.9,00:00.5
04:43.4,04:47.3,00:03.9
04:49.3,04:50.1,00:00.8
04:50.6,04:50.8,00:00.3
04:54.0,04:56.1,00:02.1
04:57.3,04:59.7,00:02.5
05:00.3,05:03.1,00:02.8
05:03.8,05:04.8,00:01.1
05:07.1,05:08.5,00:01.4
05:13.0,05:23.5,00:10.5
05:24.0,05:25.2,00:01.2
05:25.9,05:27.2,00:01.4
05:28.6,05:32.6,00:04.0
05:33.1,05:45.6,00:12.5
06:21.7,06:24.1,00:02.4
06:34.2,06:43.9,00:09.7
06:44.7,06:51.6,00:07.0
06:51.7,06:51.8,00:00.1
06:52.0,07:05.9,00:13.9
07:07.1,07:07.7,00:00.7
07:10.4,07:13.2,00:02.8
07:15.7,07:16.6,00:00.9
07:20.5,07:23.9,00:03.3
07:28.3,07:29.3,00:01.0
07:41.1,07:47.5,00:06.3
08:11.3,08:12.1,00:00.8
08:12.4,08:14.7,00:02.3
08:16.1,08:19.7,00:03.6
08:21.5,08:26.9,00:05.4
08:27.8,08:28.8,00:01.1
08:30.2,08:31.9,00:01.7
08:32.8,08:36.0,00:03.2
09:11.0,09:11.9,00:00.9
09:16.5,09:17.0,00:00.5
09:30.6,09:31.6,00:00.9
09:58.4,09:58.9,00:00.5
10:02.4,10:05.4,00:03.0
10:06.2,10:09.4,00:03.2
10:11.6,10:12.4,00:00.8
10:18.4,10:20.7,00:02.4
10:21.3,10:24.5,00:03.3
10:26.6,10:27.1,00:00.6
10:57.5,10:58.4,00:00.9
11:02.0,11:06.4,00:04.4
11:07.1,11:13.4,00:06.3
11:21.0,11:24.0,00:03.0
11:25.5,11:32.1,00:06.7
11:32.8,11:38.4,00:05.6
11:38.9,11:44.5,00:05.6
11:48.0,11:48.7,00:00.6
11:50.8,11:52.5,00:01.7
11:57.7,12:02.9,00:05.3
12:03.3,12:04.5,00:01.2
12:04.8,12:12.0,00:07.1
12:12.2,12:17.6,00:05.3
12:17.8,12:23.2,00:05.3
12:26.6,12:31.2,00:04.7
13:04.1,13:06.6,00:02.6
13:07.7,13:12.6,00:04.9
13:13.5,13:16.0,00:02.5
13:17.1,13:19.4,00:02.2
13:20.2,13:20.6,00:00.4
13:23.3,13:24.7,00:01.4
13:27.2,13:39.5,00:12.3
13:44.3,13:44.7,00:00.4
13:47.6,13:57.3,00:09.7
13:57.4,13:57.6,00:00.1
14:10.2,14:19.2,00:09.0
14:21.4,14:30.6,00:09.2
14:32.2,14:37.4,00:05.3
14:39.4,14:41.8,00:02.3
14:52.2,14:57.0,00:04.8
14:59.7,15:01.6,00:02.0
15:03.8,15:09.4,00:05.6
15:10.8,15:12.8,00:02.0
15:14.4,15:18.7,00:04.3
15:47.2,15:48.3,00:01.0
15:49.8,15:50.0,00:00.2
15:52.1,16:03.2,00:11.2
16:04.9,16:06.3,00:01.4
